"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.24 Metalurgia";"-"
"janeiro 2002";"Pernambuco";"3.24 Metalurgia";"-"
"janeiro 2002";"Bahia";"3.24 Metalurgia";"122,7"
"fevereiro 2002";"Ceará";"3.24 Metalurgia";"-"
"fevereiro 2002";"Pernambuco";"3.24 Metalurgia";"-"
"fevereiro 2002";"Bahia";"3.24 Metalurgia";"103,4"
"março 2002";"Ceará";"3.24 Metalurgia";"-"
"março 2002";"Pernambuco";"3.24 Metalurgia";"-"
"março 2002";"Bahia";"3.24 Metalurgia";"127,3"
"abril 2002";"Ceará";"3.24 Metalurgia";"-"
"abril 2002";"Pernambuco";"3.24 Metalurgia";"-"
"abril 2002";"Bahia";"3.24 Metalurgia";"104,1"
"maio 2002";"Ceará";"3.24 Metalurgia";"-"
"maio 2002";"Pernambuco";"3.24 Metalurgia";"-"
"maio 2002";"Bahia";"3.24 Metalurgia";"98,1"
"junho 2002";"Ceará";"3.24 Metalurgia";"-"
"junho 2002";"Pernambuco";"3.24 Metalurgia";"-"
"junho 2002";"Bahia";"3.24 Metalurgia";"96,5"
"julho 2002";"Ceará";"3.24 Metalurgia";"-"
"julho 2002";"Pernambuco";"3.24 Metalurgia";"-"
"julho 2002";"Bahia";"3.24 Metalurgia";"100,5"
"agosto 2002";"Ceará";"3.24 Metalurgia";"-"
"agosto 2002";"Pernambuco";"3.24 Metalurgia";"-"
"agosto 2002";"Bahia";"3.24 Metalurgia";"113,0"
"setembro 2002";"Ceará";"3.24 Metalurgia";"-"
"setembro 2002";"Pernambuco";"3.24 Metalurgia";"-"
"setembro 2002";"Bahia";"3.24 Metalurgia";"93,8"
"outubro 2002";"Ceará";"3.24 Metalurgia";"-"
"outubro 2002";"Pernambuco";"3.24 Metalurgia";"-"
"outubro 2002";"Bahia";"3.24 Metalurgia";"104,9"
"novembro 2002";"Ceará";"3.24 Metalurgia";"-"
"novembro 2002";"Pernambuco";"3.24 Metalurgia";"-"
"novembro 2002";"Bahia";"3.24 Metalurgia";"104,7"
"dezembro 2002";"Ceará";"3.24 Metalurgia";"-"
"dezembro 2002";"Pernambuco";"3.24 Metalurgia";"-"
"dezembro 2002";"Bahia";"3.24 Metalurgia";"110,3"
"janeiro 2003";"Ceará";"3.24 Metalurgia";"-"
"janeiro 2003";"Pernambuco";"3.24 Metalurgia";"-"
"janeiro 2003";"Bahia";"3.24 Metalurgia";"85,8"
"fevereiro 2003";"Ceará";"3.24 Metalurgia";"-"
"fevereiro 2003";"Pernambuco";"3.24 Metalurgia";"-"
"fevereiro 2003";"Bahia";"3.24 Metalurgia";"90,3"
"março 2003";"Ceará";"3.24 Metalurgia";"-"
"março 2003";"Pernambuco";"3.24 Metalurgia";"-"
"março 2003";"Bahia";"3.24 Metalurgia";"133,0"
"abril 2003";"Ceará";"3.24 Metalurgia";"-"
"abril 2003";"Pernambuco";"3.24 Metalurgia";"-"
"abril 2003";"Bahia";"3.24 Metalurgia";"89,5"
"maio 2003";"Ceará";"3.24 Metalurgia";"-"
"maio 2003";"Pernambuco";"3.24 Metalurgia";"-"
"maio 2003";"Bahia";"3.24 Metalurgia";"123,9"
