"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"176,1"
"janeiro 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"92,0"
"janeiro 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"fevereiro 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"113,9"
"fevereiro 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"84,1"
"fevereiro 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"março 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"119,7"
"março 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"79,0"
"março 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"abril 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"109,3"
"abril 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"93,9"
"abril 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"maio 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"133,7"
"maio 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"78,3"
"maio 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"junho 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"96,6"
"junho 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"82,7"
"junho 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"julho 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"148,3"
"julho 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"94,7"
"julho 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"agosto 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"129,8"
"agosto 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"95,1"
"agosto 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"setembro 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"139,2"
"setembro 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"98,3"
"setembro 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"outubro 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"171,1"
"outubro 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"101,9"
"outubro 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"novembro 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"177,1"
"novembro 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"95,3"
"novembro 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"dezembro 2002";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"156,4"
"dezembro 2002";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"83,2"
"dezembro 2002";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"janeiro 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"127,4"
"janeiro 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"93,3"
"janeiro 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"fevereiro 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"115,4"
"fevereiro 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"78,5"
"fevereiro 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"março 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"88,1"
"março 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"94,5"
"março 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"abril 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"104,7"
"abril 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"86,6"
"abril 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"maio 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"86,1"
"maio 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"77,2"
"maio 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"junho 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"92,2"
"junho 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"46,9"
"junho 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"julho 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"102,0"
"julho 2003";"Pernambuco";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"90,5"
"julho 2003";"Bahia";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"-"
"agosto 2003";"Ceará";"3.25 Fabricação de produtos de metal, exceto máquinas e equipamentos";"116,6"
