"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"janeiro 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"janeiro 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"fevereiro 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"fevereiro 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"fevereiro 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"março 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"março 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"março 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"abril 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"abril 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"abril 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"maio 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"maio 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"maio 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"junho 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"junho 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"junho 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"julho 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"julho 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"julho 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"agosto 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"agosto 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"agosto 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"setembro 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"setembro 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"setembro 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"outubro 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"outubro 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"outubro 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"novembro 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"novembro 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"novembro 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"dezembro 2002";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"dezembro 2002";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"dezembro 2002";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"janeiro 2003";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"janeiro 2003";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"janeiro 2003";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"fevereiro 2003";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"fevereiro 2003";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"fevereiro 2003";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"março 2003";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"março 2003";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"março 2003";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"abril 2003";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"abril 2003";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"abril 2003";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"maio 2003";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"maio 2003";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"maio 2003";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"junho 2003";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"junho 2003";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"junho 2003";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"julho 2003";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"julho 2003";"Pernambuco";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"julho 2003";"Bahia";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
"agosto 2003";"Ceará";"3.26 Fabricação de equipamentos de informática, produtos eletrônicos e ópticos";"-"
