"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"janeiro 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"janeiro 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"fevereiro 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"fevereiro 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"fevereiro 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"março 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"março 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"março 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"abril 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"abril 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"abril 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"maio 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"maio 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"maio 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"junho 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"junho 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"junho 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"julho 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"julho 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"julho 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"agosto 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"agosto 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"agosto 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"setembro 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"setembro 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"setembro 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"outubro 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"outubro 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"outubro 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"novembro 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"novembro 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"novembro 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"dezembro 2002";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"dezembro 2002";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"dezembro 2002";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"janeiro 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"janeiro 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"janeiro 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"fevereiro 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"fevereiro 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"fevereiro 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"março 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"março 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"março 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"abril 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"abril 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"abril 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"maio 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"maio 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"maio 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"junho 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"junho 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"junho 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"julho 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"julho 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"julho 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"agosto 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"agosto 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"agosto 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"setembro 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"setembro 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"setembro 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"outubro 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"outubro 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"outubro 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"novembro 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"novembro 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"novembro 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"dezembro 2003";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"dezembro 2003";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"dezembro 2003";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"janeiro 2004";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"janeiro 2004";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"janeiro 2004";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"fevereiro 2004";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"fevereiro 2004";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"fevereiro 2004";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"março 2004";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"março 2004";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"março 2004";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"abril 2004";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"abril 2004";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"abril 2004";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"maio 2004";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"maio 2004";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"maio 2004";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"junho 2004";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"junho 2004";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"junho 2004";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"julho 2004";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"julho 2004";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"julho 2004";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"agosto 2004";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"agosto 2004";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"agosto 2004";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"setembro 2004";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"setembro 2004";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"setembro 2004";"Bahia";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"outubro 2004";"Ceará";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
"outubro 2004";"Pernambuco";"3.27 Fabricação de máquinas, aparelhos e materiais elétricos";"-"
