"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"janeiro 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"janeiro 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"fevereiro 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"fevereiro 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"fevereiro 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"março 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"março 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"março 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"abril 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"abril 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"abril 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"maio 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"maio 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"maio 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"junho 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"junho 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"junho 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"julho 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"julho 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"julho 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"agosto 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"agosto 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"agosto 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"setembro 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"setembro 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"setembro 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"outubro 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"outubro 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"outubro 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"novembro 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"novembro 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"novembro 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"dezembro 2002";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"dezembro 2002";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"dezembro 2002";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"janeiro 2003";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"janeiro 2003";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
"janeiro 2003";"Bahia";"3.28 Fabricação de máquinas e equipamentos";"-"
"fevereiro 2003";"Ceará";"3.28 Fabricação de máquinas e equipamentos";"-"
"fevereiro 2003";"Pernambuco";"3.28 Fabricação de máquinas e equipamentos";"-"
