"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"janeiro 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"janeiro 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"3,1"
"fevereiro 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"fevereiro 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"fevereiro 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"4,1"
"março 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"março 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"março 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"2,1"
"abril 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"abril 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"abril 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"0,7"
"maio 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"maio 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"maio 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"1,6"
"junho 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"junho 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"junho 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"9,0"
"julho 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"julho 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"julho 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"39,9"
"agosto 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"agosto 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"agosto 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"54,9"
"setembro 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"setembro 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"setembro 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"59,3"
"outubro 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"outubro 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"outubro 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"60,9"
"novembro 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"novembro 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"novembro 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"60,6"
"dezembro 2002";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"dezembro 2002";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"dezembro 2002";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"33,3"
"janeiro 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"janeiro 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"janeiro 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"35,8"
"fevereiro 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"fevereiro 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"fevereiro 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"32,7"
"março 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"março 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"março 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"35,4"
"abril 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"abril 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"abril 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"62,9"
"maio 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"maio 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"maio 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"64,1"
"junho 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"junho 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"junho 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"66,0"
"julho 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"julho 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"julho 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"80,6"
"agosto 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"agosto 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"agosto 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"85,6"
"setembro 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"setembro 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"setembro 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"90,9"
"outubro 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"outubro 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"outubro 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"93,1"
"novembro 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"novembro 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"novembro 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"71,3"
"dezembro 2003";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"dezembro 2003";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"dezembro 2003";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"45,2"
"janeiro 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"janeiro 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"janeiro 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"93,1"
"fevereiro 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"fevereiro 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"fevereiro 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"68,3"
"março 2004";"Ceará";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"março 2004";"Pernambuco";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"-"
"março 2004";"Bahia";"3.29 Fabricação de veículos automotores, reboques e carrocerias";"99,0"
