"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"janeiro 2002";"Pernambuco";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"janeiro 2002";"Bahia";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"fevereiro 2002";"Ceará";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"fevereiro 2002";"Pernambuco";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"fevereiro 2002";"Bahia";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"março 2002";"Ceará";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"março 2002";"Pernambuco";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"março 2002";"Bahia";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"abril 2002";"Ceará";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"abril 2002";"Pernambuco";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"abril 2002";"Bahia";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"maio 2002";"Ceará";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"maio 2002";"Pernambuco";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"maio 2002";"Bahia";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"junho 2002";"Ceará";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"junho 2002";"Pernambuco";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"junho 2002";"Bahia";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"julho 2002";"Ceará";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"julho 2002";"Pernambuco";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"julho 2002";"Bahia";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
"agosto 2002";"Ceará";"3.30 Fabricação de outros equipamentos de transporte, exceto veículos automotores";"-"
