"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Brasil";"3.31 Fabricação de móveis";"79,3"
"fevereiro 2002";"Brasil";"3.31 Fabricação de móveis";"67,7"
"março 2002";"Brasil";"3.31 Fabricação de móveis";"79,8"
"abril 2002";"Brasil";"3.31 Fabricação de móveis";"86,1"
"maio 2002";"Brasil";"3.31 Fabricação de móveis";"80,5"
"junho 2002";"Brasil";"3.31 Fabricação de móveis";"73,9"
"julho 2002";"Brasil";"3.31 Fabricação de móveis";"82,2"
"agosto 2002";"Brasil";"3.31 Fabricação de móveis";"82,9"
"setembro 2002";"Brasil";"3.31 Fabricação de móveis";"87,1"
"outubro 2002";"Brasil";"3.31 Fabricação de móveis";"104,5"
"novembro 2002";"Brasil";"3.31 Fabricação de móveis";"97,8"
"dezembro 2002";"Brasil";"3.31 Fabricação de móveis";"82,1"
"janeiro 2003";"Brasil";"3.31 Fabricação de móveis";"70,4"
"fevereiro 2003";"Brasil";"3.31 Fabricação de móveis";"67,6"
"março 2003";"Brasil";"3.31 Fabricação de móveis";"64,0"
"abril 2003";"Brasil";"3.31 Fabricação de móveis";"70,3"
"maio 2003";"Brasil";"3.31 Fabricação de móveis";"72,9"
"junho 2003";"Brasil";"3.31 Fabricação de móveis";"66,4"
"julho 2003";"Brasil";"3.31 Fabricação de móveis";"74,6"
"agosto 2003";"Brasil";"3.31 Fabricação de móveis";"74,7"
"setembro 2003";"Brasil";"3.31 Fabricação de móveis";"80,3"
"outubro 2003";"Brasil";"3.31 Fabricação de móveis";"94,5"
"novembro 2003";"Brasil";"3.31 Fabricação de móveis";"91,7"
"dezembro 2003";"Brasil";"3.31 Fabricação de móveis";"80,9"
"janeiro 2004";"Brasil";"3.31 Fabricação de móveis";"72,5"
"fevereiro 2004";"Brasil";"3.31 Fabricação de móveis";"64,7"
"março 2004";"Brasil";"3.31 Fabricação de móveis";"81,1"
"abril 2004";"Brasil";"3.31 Fabricação de móveis";"73,6"
"maio 2004";"Brasil";"3.31 Fabricação de móveis";"77,7"
"junho 2004";"Brasil";"3.31 Fabricação de móveis";"72,8"
"julho 2004";"Brasil";"3.31 Fabricação de móveis";"76,4"
"agosto 2004";"Brasil";"3.31 Fabricação de móveis";"79,5"
"setembro 2004";"Brasil";"3.31 Fabricação de móveis";"77,4"
"outubro 2004";"Brasil";"3.31 Fabricação de móveis";"82,0"
"novembro 2004";"Brasil";"3.31 Fabricação de móveis";"89,2"
"dezembro 2004";"Brasil";"3.31 Fabricação de móveis";"80,4"
"janeiro 2005";"Brasil";"3.31 Fabricação de móveis";"66,6"
"fevereiro 2005";"Brasil";"3.31 Fabricação de móveis";"64,0"
"março 2005";"Brasil";"3.31 Fabricação de móveis";"79,9"
"abril 2005";"Brasil";"3.31 Fabricação de móveis";"78,3"
"maio 2005";"Brasil";"3.31 Fabricação de móveis";"85,8"
"junho 2005";"Brasil";"3.31 Fabricação de móveis";"83,5"
"julho 2005";"Brasil";"3.31 Fabricação de móveis";"76,4"
"agosto 2005";"Brasil";"3.31 Fabricação de móveis";"79,6"
"setembro 2005";"Brasil";"3.31 Fabricação de móveis";"72,0"
"outubro 2005";"Brasil";"3.31 Fabricação de móveis";"81,3"
"novembro 2005";"Brasil";"3.31 Fabricação de móveis";"94,8"
"dezembro 2005";"Brasil";"3.31 Fabricação de móveis";"88,5"
"janeiro 2006";"Brasil";"3.31 Fabricação de móveis";"70,2"
"fevereiro 2006";"Brasil";"3.31 Fabricação de móveis";"66,5"
"março 2006";"Brasil";"3.31 Fabricação de móveis";"84,6"
"abril 2006";"Brasil";"3.31 Fabricação de móveis";"72,2"
"maio 2006";"Brasil";"3.31 Fabricação de móveis";"85,4"
"junho 2006";"Brasil";"3.31 Fabricação de móveis";"79,9"
"julho 2006";"Brasil";"3.31 Fabricação de móveis";"76,3"
"agosto 2006";"Brasil";"3.31 Fabricação de móveis";"92,1"
"setembro 2006";"Brasil";"3.31 Fabricação de móveis";"93,1"
"outubro 2006";"Brasil";"3.31 Fabricação de móveis";"100,6"
"novembro 2006";"Brasil";"3.31 Fabricação de móveis";"111,5"
"dezembro 2006";"Brasil";"3.31 Fabricação de móveis";"95,7"
"janeiro 2007";"Brasil";"3.31 Fabricação de móveis";"80,3"
"fevereiro 2007";"Brasil";"3.31 Fabricação de móveis";"76,3"
"março 2007";"Brasil";"3.31 Fabricação de móveis";"93,0"
"abril 2007";"Brasil";"3.31 Fabricação de móveis";"85,5"
"maio 2007";"Brasil";"3.31 Fabricação de móveis";"91,8"
"junho 2007";"Brasil";"3.31 Fabricação de móveis";"81,2"
"julho 2007";"Brasil";"3.31 Fabricação de móveis";"86,9"
