"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"janeiro 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"janeiro 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"fevereiro 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"fevereiro 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"fevereiro 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"março 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"março 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"março 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"abril 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"abril 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"abril 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"maio 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"maio 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"maio 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"junho 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"junho 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"junho 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"julho 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"julho 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"julho 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"agosto 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"agosto 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"agosto 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"setembro 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"setembro 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"setembro 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"outubro 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"outubro 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"outubro 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"novembro 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"novembro 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"novembro 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"dezembro 2002";"Ceará";"3.31 Fabricação de móveis";"-"
"dezembro 2002";"Pernambuco";"3.31 Fabricação de móveis";"-"
"dezembro 2002";"Bahia";"3.31 Fabricação de móveis";"-"
"janeiro 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"janeiro 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"janeiro 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"fevereiro 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"fevereiro 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"fevereiro 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"março 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"março 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"março 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"abril 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"abril 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"abril 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"maio 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"maio 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"maio 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"junho 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"junho 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"junho 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"julho 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"julho 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"julho 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"agosto 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"agosto 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"agosto 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"setembro 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"setembro 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"setembro 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"outubro 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"outubro 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"outubro 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"novembro 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"novembro 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"novembro 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"dezembro 2003";"Ceará";"3.31 Fabricação de móveis";"-"
"dezembro 2003";"Pernambuco";"3.31 Fabricação de móveis";"-"
"dezembro 2003";"Bahia";"3.31 Fabricação de móveis";"-"
"janeiro 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"janeiro 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"janeiro 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"fevereiro 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"fevereiro 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"fevereiro 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"março 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"março 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"março 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"abril 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"abril 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"abril 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"maio 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"maio 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"maio 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"junho 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"junho 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"junho 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"julho 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"julho 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"julho 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"agosto 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"agosto 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"agosto 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"setembro 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"setembro 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"setembro 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"outubro 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"outubro 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"outubro 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"novembro 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"novembro 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"novembro 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"dezembro 2004";"Ceará";"3.31 Fabricação de móveis";"-"
"dezembro 2004";"Pernambuco";"3.31 Fabricação de móveis";"-"
"dezembro 2004";"Bahia";"3.31 Fabricação de móveis";"-"
"janeiro 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"janeiro 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"janeiro 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"fevereiro 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"fevereiro 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"fevereiro 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"março 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"março 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"março 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"abril 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"abril 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"abril 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"maio 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"maio 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"maio 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"junho 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"junho 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"junho 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"julho 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"julho 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"julho 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"agosto 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"agosto 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"agosto 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"setembro 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"setembro 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"setembro 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"outubro 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"outubro 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"outubro 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"novembro 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"novembro 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"novembro 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"dezembro 2005";"Ceará";"3.31 Fabricação de móveis";"-"
"dezembro 2005";"Pernambuco";"3.31 Fabricação de móveis";"-"
"dezembro 2005";"Bahia";"3.31 Fabricação de móveis";"-"
"janeiro 2006";"Ceará";"3.31 Fabricação de móveis";"-"
"janeiro 2006";"Pernambuco";"3.31 Fabricação de móveis";"-"
"janeiro 2006";"Bahia";"3.31 Fabricação de móveis";"-"
"fevereiro 2006";"Ceará";"3.31 Fabricação de móveis";"-"
"fevereiro 2006";"Pernambuco";"3.31 Fabricação de móveis";"-"
"fevereiro 2006";"Bahia";"3.31 Fabricação de móveis";"-"
"março 2006";"Ceará";"3.31 Fabricação de móveis";"-"
"março 2006";"Pernambuco";"3.31 Fabricação de móveis";"-"
"março 2006";"Bahia";"3.31 Fabricação de móveis";"-"
"abril 2006";"Ceará";"3.31 Fabricação de móveis";"-"
"abril 2006";"Pernambuco";"3.31 Fabricação de móveis";"-"
"abril 2006";"Bahia";"3.31 Fabricação de móveis";"-"
