"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"janeiro 2002";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"janeiro 2002";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"fevereiro 2002";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"fevereiro 2002";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"fevereiro 2002";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"março 2002";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"março 2002";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"março 2002";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"abril 2002";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"abril 2002";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"abril 2002";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"maio 2002";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"maio 2002";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"maio 2002";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"junho 2002";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"junho 2002";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"junho 2002";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"julho 2002";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"julho 2002";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"julho 2002";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"agosto 2002";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"agosto 2002";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
"agosto 2002";"Bahia";"3.32 Fabricação de produtos diversos";"-"
"setembro 2002";"Ceará";"3.32 Fabricação de produtos diversos";"-"
"setembro 2002";"Pernambuco";"3.32 Fabricação de produtos diversos";"-"
