"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"";"Ano";"Tipo de rebanho"
"";"Ano";"Bovino"
"Brasil";"1974";"92495364"
"Brasil";"1975";"102531758"
"Brasil";"1976";"107349052"
"Brasil";"1977";"107296556"
"Brasil";"1978";"106942565"
"Brasil";"1979";"109177486"
"Brasil";"1980";"118971418"
"Brasil";"1981";"121785084"
"Brasil";"1982";"123487834"
"Brasil";"1983";"124185999"
"Brasil";"1984";"127654597"
"Brasil";"1985";"128422666"
"Brasil";"1986";"132221568"
"Brasil";"1987";"135726280"
"Brasil";"1988";"139599106"
"Brasil";"1989";"144154103"
"Brasil";"1990";"147102314"
"Brasil";"1991";"152135505"
"Brasil";"1992";"154229303"
"Brasil";"1993";"155134073"
"Brasil";"1994";"158243229"
"Brasil";"1995";"161227938"
"Brasil";"1996";"158288540"
"Brasil";"1997";"161416157"
"Brasil";"1998";"163154357"
"Brasil";"1999";"164621038"
"Brasil";"2000";"169875524"
"Brasil";"2001";"176388726"
"Brasil";"2002";"185348838"
"Brasil";"2003";"195551576"
"Brasil";"2004";"204512737"
"Brasil";"2005";"207156696"
"Brasil";"2006";"205886244"
"Brasil";"2007";"199752014"
"Brasil";"2008";"202306731"
"Brasil";"2009";"205307954"
"Brasil";"2010";"209541109"
"Brasil";"2011";"212815311"
"Brasil";"2012";"211279082"
"Brasil";"2013";"211764292"
"Brasil";"2014";"212366132"
"Brasil";"2015";"215220508"
"Brasil";"2016";"218225177"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
