"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Unidade da Federação";"Ano";"Tipo de rebanho"
"Unidade da Federação";"Ano";"Bovino"
"Piauí";"1974";"1467902"
"Piauí";"1975";"1379634"
"Piauí";"1976";"1396387"
"Piauí";"1977";"1424446"
"Piauí";"1978";"1468925"
"Piauí";"1979";"1537037"
"Piauí";"1980";"1595136"
"Piauí";"1981";"1629785"
"Piauí";"1982";"1667681"
"Piauí";"1983";"1531687"
"Piauí";"1984";"1588631"
"Piauí";"1985";"1600761"
"Piauí";"1986";"1658658"
"Piauí";"1987";"1729326"
"Piauí";"1988";"1812058"
"Piauí";"1989";"1895428"
"Piauí";"1990";"1974099"
"Piauí";"1991";"2045737"
"Piauí";"1992";"2029052"
"Piauí";"1993";"1982460"
"Piauí";"1994";"2053618"
"Piauí";"1995";"2135286"
"Piauí";"1996";"1729595"
"Piauí";"1997";"1736997"
"Piauí";"1998";"1750936"
"Piauí";"1999";"1756268"
"Piauí";"2000";"1779456"
"Piauí";"2001";"1791817"
"Piauí";"2002";"1804477"
"Piauí";"2003";"1818221"
"Piauí";"2004";"1830613"
"Piauí";"2005";"1826833"
"Piauí";"2006";"1838378"
"Piauí";"2007";"1736520"
"Piauí";"2008";"1750910"
"Piauí";"2009";"1682111"
"Piauí";"2010";"1679957"
"Piauí";"2011";"1688024"
"Piauí";"2012";"1689926"
"Piauí";"2013";"1666107"
"Piauí";"2014";"1660099"
"Piauí";"2015";"1649549"
"Piauí";"2016";"1639856"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
