"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"";"Ano";"Tipo de rebanho"
"";"Ano";"Bubalino"
"Brasil";"1974";"202933"
"Brasil";"1975";"266865"
"Brasil";"1976";"319829"
"Brasil";"1977";"343377"
"Brasil";"1978";"392911"
"Brasil";"1979";"473541"
"Brasil";"1980";"494676"
"Brasil";"1981";"542475"
"Brasil";"1982";"623574"
"Brasil";"1983";"702182"
"Brasil";"1984";"804478"
"Brasil";"1985";"882142"
"Brasil";"1986";"984811"
"Brasil";"1987";"1082128"
"Brasil";"1988";"1181219"
"Brasil";"1989";"1285043"
"Brasil";"1990";"1397097"
"Brasil";"1991";"1432112"
"Brasil";"1992";"1423348"
"Brasil";"1993";"1498890"
"Brasil";"1994";"1571349"
"Brasil";"1995";"1641950"
"Brasil";"1996";"1046106"
"Brasil";"1997";"977767"
"Brasil";"1998";"1017246"
"Brasil";"1999";"1068059"
"Brasil";"2000";"1102551"
"Brasil";"2001";"1118823"
"Brasil";"2002";"1113400"
"Brasil";"2003";"1148808"
"Brasil";"2004";"1133622"
"Brasil";"2005";"1173629"
"Brasil";"2006";"1156870"
"Brasil";"2007";"1131986"
"Brasil";"2008";"1146690"
"Brasil";"2009";"1135191"
"Brasil";"2010";"1184511"
"Brasil";"2011";"1278075"
"Brasil";"2012";"1261922"
"Brasil";"2013";"1332284"
"Brasil";"2014";"1319478"
"Brasil";"2015";"1370488"
"Brasil";"2016";"1370941"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
