"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Unidade da Federação";"Ano";"Tipo de rebanho"
"Unidade da Federação";"Ano";"Bubalino"
"Piauí";"1974";"140"
"Piauí";"1975";"151"
"Piauí";"1976";"171"
"Piauí";"1977";"167"
"Piauí";"1978";"203"
"Piauí";"1979";"246"
"Piauí";"1980";"211"
"Piauí";"1981";"267"
"Piauí";"1982";"318"
"Piauí";"1983";"362"
"Piauí";"1984";"408"
"Piauí";"1985";"447"
"Piauí";"1986";"278"
"Piauí";"1987";"318"
"Piauí";"1988";"348"
"Piauí";"1989";"406"
"Piauí";"1990";"486"
"Piauí";"1991";"469"
"Piauí";"1992";"515"
"Piauí";"1993";"165"
"Piauí";"1994";"261"
"Piauí";"1995";"298"
"Piauí";"1996";"547"
"Piauí";"1997";"547"
"Piauí";"1998";"580"
"Piauí";"1999";"577"
"Piauí";"2000";"660"
"Piauí";"2001";"533"
"Piauí";"2002";"343"
"Piauí";"2003";"336"
"Piauí";"2004";"403"
"Piauí";"2005";"542"
"Piauí";"2006";"542"
"Piauí";"2007";"570"
"Piauí";"2008";"594"
"Piauí";"2009";"581"
"Piauí";"2010";"677"
"Piauí";"2011";"657"
"Piauí";"2012";"671"
"Piauí";"2013";"877"
"Piauí";"2014";"620"
"Piauí";"2015";"681"
"Piauí";"2016";"658"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
