"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"";"Ano";"Tipo de rebanho"
"";"Ano";"Caprino"
"Brasil";"1974";"7170629"
"Brasil";"1975";"7100994"
"Brasil";"1976";"7484617"
"Brasil";"1977";"7423981"
"Brasil";"1978";"7665298"
"Brasil";"1979";"8069988"
"Brasil";"1980";"8325716"
"Brasil";"1981";"8864505"
"Brasil";"1982";"9036746"
"Brasil";"1983";"8935792"
"Brasil";"1984";"9674637"
"Brasil";"1985";"10020101"
"Brasil";"1986";"10595292"
"Brasil";"1987";"10791865"
"Brasil";"1988";"11312713"
"Brasil";"1989";"11669018"
"Brasil";"1990";"11894587"
"Brasil";"1991";"12172146"
"Brasil";"1992";"12159564"
"Brasil";"1993";"10618531"
"Brasil";"1994";"10879286"
"Brasil";"1995";"11271653"
"Brasil";"1996";"7436454"
"Brasil";"1997";"7968169"
"Brasil";"1998";"8164153"
"Brasil";"1999";"8622935"
"Brasil";"2000";"9346813"
"Brasil";"2001";"9537439"
"Brasil";"2002";"9429122"
"Brasil";"2003";"9581653"
"Brasil";"2004";"10046888"
"Brasil";"2005";"10306722"
"Brasil";"2006";"10401449"
"Brasil";"2007";"9450312"
"Brasil";"2008";"9355014"
"Brasil";"2009";"9163560"
"Brasil";"2010";"9312784"
"Brasil";"2011";"9386316"
"Brasil";"2012";"8646463"
"Brasil";"2013";"8779213"
"Brasil";"2014";"8851879"
"Brasil";"2015";"9620877"
"Brasil";"2016";"9780533"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
