"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Unidade da Federação";"Ano";"Tipo de rebanho"
"Unidade da Federação";"Ano";"Caprino"
"Piauí";"1974";"1529737"
"Piauí";"1975";"1391136"
"Piauí";"1976";"1428453"
"Piauí";"1977";"1425691"
"Piauí";"1978";"1462849"
"Piauí";"1979";"1526451"
"Piauí";"1980";"1604318"
"Piauí";"1981";"1676562"
"Piauí";"1982";"1734766"
"Piauí";"1983";"1673872"
"Piauí";"1984";"1741053"
"Piauí";"1985";"1610609"
"Piauí";"1986";"1669265"
"Piauí";"1987";"1739221"
"Piauí";"1988";"1825828"
"Piauí";"1989";"1912733"
"Piauí";"1990";"2002851"
"Piauí";"1991";"2094732"
"Piauí";"1992";"2071864"
"Piauí";"1993";"2030527"
"Piauí";"1994";"2078452"
"Piauí";"1995";"2146665"
"Piauí";"1996";"1552311"
"Piauí";"1997";"1521774"
"Piauí";"1998";"1498186"
"Piauí";"1999";"1484910"
"Piauí";"2000";"1469994"
"Piauí";"2001";"1455135"
"Piauí";"2002";"1445107"
"Piauí";"2003";"1427556"
"Piauí";"2004";"1406281"
"Piauí";"2005";"1389486"
"Piauí";"2006";"1371234"
"Piauí";"2007";"1371392"
"Piauí";"2008";"1370372"
"Piauí";"2009";"1389384"
"Piauí";"2010";"1386515"
"Piauí";"2011";"1381949"
"Piauí";"2012";"1285033"
"Piauí";"2013";"1239161"
"Piauí";"2014";"1234403"
"Piauí";"2015";"1228263"
"Piauí";"2016";"1228950"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
