"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"";"Ano";"Tipo de rebanho"
"";"Ano";"Codornas"
"Brasil";"1974";"488450"
"Brasil";"1975";"467299"
"Brasil";"1976";"424430"
"Brasil";"1977";"279335"
"Brasil";"1978";"314643"
"Brasil";"1979";"612592"
"Brasil";"1980";"830717"
"Brasil";"1981";"837840"
"Brasil";"1982";"709527"
"Brasil";"1983";"866219"
"Brasil";"1984";"1251210"
"Brasil";"1985";"1393876"
"Brasil";"1986";"1841453"
"Brasil";"1987";"2442533"
"Brasil";"1988";"2454077"
"Brasil";"1989";"2348739"
"Brasil";"1990";"2464016"
"Brasil";"1991";"2542093"
"Brasil";"1992";"2488172"
"Brasil";"1993";"2417950"
"Brasil";"1994";"2424280"
"Brasil";"1995";"2939376"
"Brasil";"1996";"4219887"
"Brasil";"1997";"4303237"
"Brasil";"1998";"4707143"
"Brasil";"1999";"4837506"
"Brasil";"2000";"5775181"
"Brasil";"2001";"6045342"
"Brasil";"2002";"5575068"
"Brasil";"2003";"5980474"
"Brasil";"2004";"6243202"
"Brasil";"2005";"6837767"
"Brasil";"2006";"7207830"
"Brasil";"2007";"7586732"
"Brasil";"2008";"8976816"
"Brasil";"2009";"11485093"
"Brasil";"2010";"12992269"
"Brasil";"2011";"15567634"
"Brasil";"2012";"16436164"
"Brasil";"2013";"18171955"
"Brasil";"2014";"20332003"
"Brasil";"2015";"18971342"
"Brasil";"2016";"15099683"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
