"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Unidade da Federação";"Ano";"Tipo de rebanho"
"Unidade da Federação";"Ano";"Codornas"
"Piauí";"1974";"1205"
"Piauí";"1975";"1197"
"Piauí";"1976";"2007"
"Piauí";"1977";"-"
"Piauí";"1978";"-"
"Piauí";"1979";"-"
"Piauí";"1980";"-"
"Piauí";"1981";"-"
"Piauí";"1982";"-"
"Piauí";"1983";"-"
"Piauí";"1984";"-"
"Piauí";"1985";"-"
"Piauí";"1986";"-"
"Piauí";"1987";"26340"
"Piauí";"1988";"7588"
"Piauí";"1989";"8089"
"Piauí";"1990";"8188"
"Piauí";"1991";"8160"
"Piauí";"1992";"11065"
"Piauí";"1993";"13000"
"Piauí";"1994";"14290"
"Piauí";"1995";"30500"
"Piauí";"1996";"55611"
"Piauí";"1997";"32748"
"Piauí";"1998";"37228"
"Piauí";"1999";"28380"
"Piauí";"2000";"28024"
"Piauí";"2001";"26145"
"Piauí";"2002";"29866"
"Piauí";"2003";"23200"
"Piauí";"2004";"23400"
"Piauí";"2005";"22900"
"Piauí";"2006";"16900"
"Piauí";"2007";"30600"
"Piauí";"2008";"31518"
"Piauí";"2009";"25659"
"Piauí";"2010";"25085"
"Piauí";"2011";"21273"
"Piauí";"2012";"27107"
"Piauí";"2013";"22962"
"Piauí";"2014";"23307"
"Piauí";"2015";"33091"
"Piauí";"2016";"33097"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
