"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"";"Ano";"Tipo de rebanho"
"";"Ano";"Equino"
"Brasil";"1974";"5216543"
"Brasil";"1975";"5506968"
"Brasil";"1976";"5156830"
"Brasil";"1977";"4934086"
"Brasil";"1978";"4853209"
"Brasil";"1979";"4927867"
"Brasil";"1980";"5054703"
"Brasil";"1981";"5226776"
"Brasil";"1982";"5259708"
"Brasil";"1983";"5288762"
"Brasil";"1984";"5442283"
"Brasil";"1985";"5549995"
"Brasil";"1986";"5735208"
"Brasil";"1987";"5855273"
"Brasil";"1988";"5971494"
"Brasil";"1989";"6097785"
"Brasil";"1990";"6121515"
"Brasil";"1991";"6236607"
"Brasil";"1992";"6329213"
"Brasil";"1993";"6314130"
"Brasil";"1994";"6355725"
"Brasil";"1995";"6394145"
"Brasil";"1996";"5705096"
"Brasil";"1997";"5831533"
"Brasil";"1998";"5866780"
"Brasil";"1999";"5831341"
"Brasil";"2000";"5831817"
"Brasil";"2001";"5801055"
"Brasil";"2002";"5774493"
"Brasil";"2003";"5828376"
"Brasil";"2004";"5787250"
"Brasil";"2005";"5787249"
"Brasil";"2006";"5749117"
"Brasil";"2007";"5602053"
"Brasil";"2008";"5542182"
"Brasil";"2009";"5496817"
"Brasil";"2010";"5514253"
"Brasil";"2011";"5510601"
"Brasil";"2012";"5363185"
"Brasil";"2013";"5312076"
"Brasil";"2014";"5450601"
"Brasil";"2015";"5551288"
"Brasil";"2016";"5577539"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
