"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Unidade da Federação";"Ano";"Tipo de rebanho"
"Unidade da Federação";"Ano";"Equino"
"Piauí";"1974";"184370"
"Piauí";"1975";"194155"
"Piauí";"1976";"180873"
"Piauí";"1977";"174154"
"Piauí";"1978";"167940"
"Piauí";"1979";"168823"
"Piauí";"1980";"165315"
"Piauí";"1981";"165246"
"Piauí";"1982";"162800"
"Piauí";"1983";"147438"
"Piauí";"1984";"149263"
"Piauí";"1985";"152009"
"Piauí";"1986";"155479"
"Piauí";"1987";"158518"
"Piauí";"1988";"163408"
"Piauí";"1989";"167958"
"Piauí";"1990";"171920"
"Piauí";"1991";"175236"
"Piauí";"1992";"175375"
"Piauí";"1993";"176823"
"Piauí";"1994";"181130"
"Piauí";"1995";"185204"
"Piauí";"1996";"148371"
"Piauí";"1997";"151596"
"Piauí";"1998";"149144"
"Piauí";"1999";"149537"
"Piauí";"2000";"149659"
"Piauí";"2001";"150134"
"Piauí";"2002";"150425"
"Piauí";"2003";"150602"
"Piauí";"2004";"150866"
"Piauí";"2005";"151014"
"Piauí";"2006";"151258"
"Piauí";"2007";"149561"
"Piauí";"2008";"146039"
"Piauí";"2009";"115398"
"Piauí";"2010";"112423"
"Piauí";"2011";"109936"
"Piauí";"2012";"106538"
"Piauí";"2013";"102092"
"Piauí";"2014";"99679"
"Piauí";"2015";"95990"
"Piauí";"2016";"93942"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
