"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"";"Ano";"Tipo de rebanho"
"";"Ano";"Galináceos - total"
"Brasil";"1974";"274377503"
"Brasil";"1975";"311867144"
"Brasil";"1976";"338977426"
"Brasil";"1977";"331585752"
"Brasil";"1978";"345710865"
"Brasil";"1979";"387656967"
"Brasil";"1980";"441321941"
"Brasil";"1981";"450047970"
"Brasil";"1982";"469923548"
"Brasil";"1983";"450752891"
"Brasil";"1984";"462783622"
"Brasil";"1985";"470087999"
"Brasil";"1986";"495640086"
"Brasil";"1987";"514550021"
"Brasil";"1988";"510098954"
"Brasil";"1989";"531219358"
"Brasil";"1990";"546235505"
"Brasil";"1991";"594392594"
"Brasil";"1992";"639625359"
"Brasil";"1993";"654167008"
"Brasil";"1994";"681088045"
"Brasil";"1995";"729531299"
"Brasil";"1996";"728086507"
"Brasil";"1997";"760621670"
"Brasil";"1998";"765222027"
"Brasil";"1999";"804575808"
"Brasil";"2000";"842740173"
"Brasil";"2001";"882888419"
"Brasil";"2002";"884145172"
"Brasil";"2003";"921322832"
"Brasil";"2004";"944298348"
"Brasil";"2005";"999041234"
"Brasil";"2006";"1011515701"
"Brasil";"2007";"1127658584"
"Brasil";"2008";"1198704048"
"Brasil";"2009";"1230086672"
"Brasil";"2010";"1238912537"
"Brasil";"2011";"1268209405"
"Brasil";"2012";"1245269485"
"Brasil";"2013";"1246637953"
"Brasil";"2014";"1320749401"
"Brasil";"2015";"1326452695"
"Brasil";"2016";"1352291029"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
