"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Unidade da Federação";"Ano";"Tipo de rebanho"
"Unidade da Federação";"Ano";"Galináceos - total"
"Piauí";"1974";"4330286"
"Piauí";"1975";"4919106"
"Piauí";"1976";"5044989"
"Piauí";"1977";"4903442"
"Piauí";"1978";"4969511"
"Piauí";"1979";"5025671"
"Piauí";"1980";"5212240"
"Piauí";"1981";"4973623"
"Piauí";"1982";"5078278"
"Piauí";"1983";"4407642"
"Piauí";"1984";"5033614"
"Piauí";"1985";"6407430"
"Piauí";"1986";"6622755"
"Piauí";"1987";"7177150"
"Piauí";"1988";"7701893"
"Piauí";"1989";"8112497"
"Piauí";"1990";"8410618"
"Piauí";"1991";"8860740"
"Piauí";"1992";"8795771"
"Piauí";"1993";"8462743"
"Piauí";"1994";"8800332"
"Piauí";"1995";"9152849"
"Piauí";"1996";"8512323"
"Piauí";"1997";"8678769"
"Piauí";"1998";"8862159"
"Piauí";"1999";"9104764"
"Piauí";"2000";"9187133"
"Piauí";"2001";"9371276"
"Piauí";"2002";"9675560"
"Piauí";"2003";"9826292"
"Piauí";"2004";"10043654"
"Piauí";"2005";"10140036"
"Piauí";"2006";"10338745"
"Piauí";"2007";"10017084"
"Piauí";"2008";"10265363"
"Piauí";"2009";"9668425"
"Piauí";"2010";"9742974"
"Piauí";"2011";"9721331"
"Piauí";"2012";"9619748"
"Piauí";"2013";"9526306"
"Piauí";"2014";"9713210"
"Piauí";"2015";"9710628"
"Piauí";"2016";"9814396"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
