"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"";"Ano";"Tipo de rebanho"
"";"Ano";"Galináceos - galinhas"
"Brasil";"1974";"112980458"
"Brasil";"1975";"133441993"
"Brasil";"1976";"168131980"
"Brasil";"1977";"141575618"
"Brasil";"1978";"345710865"
"Brasil";"1979";"387656967"
"Brasil";"1980";"441321941"
"Brasil";"1981";"152252523"
"Brasil";"1982";"155084091"
"Brasil";"1983";"148642215"
"Brasil";"1984";"155986311"
"Brasil";"1985";"160501300"
"Brasil";"1986";"168096454"
"Brasil";"1987";"172037955"
"Brasil";"1988";"169790829"
"Brasil";"1989";"172605559"
"Brasil";"1990";"174508355"
"Brasil";"1991";"200544113"
"Brasil";"1992";"204160371"
"Brasil";"1993";"201784802"
"Brasil";"1994";"207539242"
"Brasil";"1995";"188367357"
"Brasil";"1996";"178527564"
"Brasil";"1997";"179628673"
"Brasil";"1998";"175851681"
"Brasil";"1999";"180194312"
"Brasil";"2000";"183494626"
"Brasil";"2001";"190233644"
"Brasil";"2002";"180427006"
"Brasil";"2003";"183799736"
"Brasil";"2004";"184786319"
"Brasil";"2005";"186573334"
"Brasil";"2006";"191622110"
"Brasil";"2007";"197618060"
"Brasil";"2008";"207711504"
"Brasil";"2009";"208871491"
"Brasil";"2010";"210761060"
"Brasil";"2011";"216219543"
"Brasil";"2012";"213230493"
"Brasil";"2013";"219681760"
"Brasil";"2014";"223913652"
"Brasil";"2015";"221985987"
"Brasil";"2016";"218732693"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
