"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Unidade da Federação";"Ano";"Tipo de rebanho"
"Unidade da Federação";"Ano";"Galináceos - galinhas"
"Piauí";"1974";"1566082"
"Piauí";"1975";"1587931"
"Piauí";"1976";"1863811"
"Piauí";"1977";"1495892"
"Piauí";"1978";"4969511"
"Piauí";"1979";"5025671"
"Piauí";"1980";"5212240"
"Piauí";"1981";"1404512"
"Piauí";"1982";"1439027"
"Piauí";"1983";"1235067"
"Piauí";"1984";"1483373"
"Piauí";"1985";"2161963"
"Piauí";"1986";"2245639"
"Piauí";"1987";"2462287"
"Piauí";"1988";"2653693"
"Piauí";"1989";"2752969"
"Piauí";"1990";"2892633"
"Piauí";"1991";"3047595"
"Piauí";"1992";"3019784"
"Piauí";"1993";"2875423"
"Piauí";"1994";"2992125"
"Piauí";"1995";"3078646"
"Piauí";"1996";"2219257"
"Piauí";"1997";"2179359"
"Piauí";"1998";"2252399"
"Piauí";"1999";"2316336"
"Piauí";"2000";"2364169"
"Piauí";"2001";"2436118"
"Piauí";"2002";"2440274"
"Piauí";"2003";"2461856"
"Piauí";"2004";"2545437"
"Piauí";"2005";"2540529"
"Piauí";"2006";"2554994"
"Piauí";"2007";"2412851"
"Piauí";"2008";"2474754"
"Piauí";"2009";"1998674"
"Piauí";"2010";"1983405"
"Piauí";"2011";"2007738"
"Piauí";"2012";"1985605"
"Piauí";"2013";"1989456"
"Piauí";"2014";"2042811"
"Piauí";"2015";"2102337"
"Piauí";"2016";"2188621"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
