"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"";"Ano";"Tipo de rebanho"
"";"Ano";"Ovino"
"Brasil";"1974";"18876770"
"Brasil";"1975";"17828226"
"Brasil";"1976";"18002155"
"Brasil";"1977";"18008585"
"Brasil";"1978";"17418308"
"Brasil";"1979";"17806268"
"Brasil";"1980";"18380960"
"Brasil";"1981";"19054132"
"Brasil";"1982";"18588149"
"Brasil";"1983";"18121376"
"Brasil";"1984";"18447244"
"Brasil";"1985";"18658967"
"Brasil";"1986";"19659739"
"Brasil";"1987";"19859609"
"Brasil";"1988";"20084877"
"Brasil";"1989";"20041463"
"Brasil";"1990";"20014505"
"Brasil";"1991";"20127945"
"Brasil";"1992";"19955874"
"Brasil";"1993";"18008283"
"Brasil";"1994";"18436098"
"Brasil";"1995";"18336432"
"Brasil";"1996";"14725503"
"Brasil";"1997";"14533716"
"Brasil";"1998";"14268387"
"Brasil";"1999";"14399960"
"Brasil";"2000";"14784958"
"Brasil";"2001";"14638925"
"Brasil";"2002";"14277061"
"Brasil";"2003";"14556484"
"Brasil";"2004";"15057838"
"Brasil";"2005";"15588041"
"Brasil";"2006";"16019170"
"Brasil";"2007";"16239455"
"Brasil";"2008";"16630408"
"Brasil";"2009";"16811721"
"Brasil";"2010";"17380581"
"Brasil";"2011";"17668063"
"Brasil";"2012";"16789492"
"Brasil";"2013";"17290519"
"Brasil";"2014";"17614454"
"Brasil";"2015";"18410551"
"Brasil";"2016";"18433810"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
