"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Unidade da Federação";"Ano";"Tipo de rebanho"
"Unidade da Federação";"Ano";"Ovino"
"Piauí";"1974";"919048"
"Piauí";"1975";"832933"
"Piauí";"1976";"844571"
"Piauí";"1977";"847733"
"Piauí";"1978";"871884"
"Piauí";"1979";"905349"
"Piauí";"1980";"930856"
"Piauí";"1981";"968887"
"Piauí";"1982";"984283"
"Piauí";"1983";"948592"
"Piauí";"1984";"980406"
"Piauí";"1985";"976191"
"Piauí";"1986";"1016798"
"Piauí";"1987";"1058565"
"Piauí";"1988";"1110818"
"Piauí";"1989";"1161379"
"Piauí";"1990";"1211051"
"Piauí";"1991";"1260698"
"Piauí";"1992";"1231783"
"Piauí";"1993";"1182082"
"Piauí";"1994";"1223370"
"Piauí";"1995";"1259546"
"Piauí";"1996";"1320574"
"Piauí";"1997";"1342504"
"Piauí";"1998";"1342912"
"Piauí";"1999";"1369009"
"Piauí";"2000";"1395960"
"Piauí";"2001";"1422224"
"Piauí";"2002";"1438084"
"Piauí";"2003";"1461804"
"Piauí";"2004";"1486298"
"Piauí";"2005";"1511743"
"Piauí";"2006";"1534969"
"Piauí";"2007";"1437219"
"Piauí";"2008";"1444373"
"Piauí";"2009";"1387279"
"Piauí";"2010";"1392861"
"Piauí";"2011";"1397864"
"Piauí";"2012";"1240423"
"Piauí";"2013";"1205232"
"Piauí";"2014";"1210967"
"Piauí";"2015";"1200079"
"Piauí";"2016";"1207807"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
