"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"";"Ano";"Tipo de rebanho"
"";"Ano";"Suíno - total"
"Brasil";"1974";"34191986"
"Brasil";"1975";"37640291"
"Brasil";"1976";"38742102"
"Brasil";"1977";"34532153"
"Brasil";"1978";"33698970"
"Brasil";"1979";"35695012"
"Brasil";"1980";"34331236"
"Brasil";"1981";"32429244"
"Brasil";"1982";"33175597"
"Brasil";"1983";"31677541"
"Brasil";"1984";"32327339"
"Brasil";"1985";"32247687"
"Brasil";"1986";"32539339"
"Brasil";"1987";"32479681"
"Brasil";"1988";"32120895"
"Brasil";"1989";"33015038"
"Brasil";"1990";"33623186"
"Brasil";"1991";"34290275"
"Brasil";"1992";"34532168"
"Brasil";"1993";"34184187"
"Brasil";"1994";"35141839"
"Brasil";"1995";"36062103"
"Brasil";"1996";"29202182"
"Brasil";"1997";"29637109"
"Brasil";"1998";"30006946"
"Brasil";"1999";"30838616"
"Brasil";"2000";"31562111"
"Brasil";"2001";"32605112"
"Brasil";"2002";"31918749"
"Brasil";"2003";"32304905"
"Brasil";"2004";"33085299"
"Brasil";"2005";"34063934"
"Brasil";"2006";"35173824"
"Brasil";"2007";"35945015"
"Brasil";"2008";"36819017"
"Brasil";"2009";"38045454"
"Brasil";"2010";"38956758"
"Brasil";"2011";"39307336"
"Brasil";"2012";"38795902"
"Brasil";"2013";"36743593"
"Brasil";"2014";"37930307"
"Brasil";"2015";"39795222"
"Brasil";"2016";"39950320"
"Fonte: IBGE - Pesquisa Pecuária Municipal"

"Notas"
"1 - Os municípios sem informação para pelo menos um efetivo de rebanho não aparecem nas listas."
"2 - Efetivos dos rebanhos em 31/12."
"3 - Os dados sobre matrizes de suínos só estão disponíveis a partir de 2013.
4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
