Data;4189 - Taxa de juros - Selic acumulada no mês anualizada base 252 - % a.a.
07/1986;23,51
08/1986;35,55
09/1986;39,39
10/1986;23,65
11/1986;34,32
12/1986;83,98
01/1987;250,03
02/1987;854,45
03/1987;314,71
04/1987;560,69
05/1987;1.502,24
06/1987;630,28
07/1987;154,67
08/1987;154,24
09/1987;151,44
10/1987;195,52
11/1987;362,14
12/1987;366,05
01/1988;606,33
02/1988;833,98
03/1988;480,08
04/1988;1.054,31
05/1988;762,51
06/1988;720,75
07/1988;1.312,80
08/1988;835,07
09/1988;1.539,21
10/1988;3.076,43
11/1988;1.909,30
12/1988;1.962,12
01/1989;1.253,74
02/1989;1.034,67
03/1989;829,22
04/1989;324,54
05/1989;266,37
06/1989;1.486,02
07/1989;3.005,24
08/1989;2.687,61
09/1989;6.002,01
10/1989;10.676,54
11/1989;14.365,32
12/1989;51.659,46
01/1990;36.957,20
02/1990;438.898,83
03/1990;3.507,42
04/1990;73,21
05/1990;88,57
06/1990;187,11
07/1990;339,35
08/1990;230,48
09/1990;554,26
10/1990;524,39
11/1990;877,02
12/1990;1.237,94
01/1991;789,54
02/1991;166,94
03/1991;213,32
04/1991;187,77
05/1991;198,99
06/1991;244,79
07/1991;259,48
08/1991;434,02
09/1991;772,46
10/1991;1.152,41
11/1991;3.343,48
12/1991;2.495,22
01/1992;1.757,41
02/1992;2.316,07
03/1992;1.903,48
04/1992;1.619,83
05/1992;1.257,14
06/1992;1.257,75
07/1992;1.181,45
08/1992;1.447,92
09/1992;1.773,24
10/1992;1.866,66
11/1992;1.815,18
12/1992;1.300,85
01/1993;2.259,56
02/1993;3.397,11
03/1993;1.441,34
04/1993;3.326,22
05/1993;2.430,28
06/1993;2.676,49
07/1993;2.461,37
08/1993;2.916,19
09/1993;4.359,96
10/1993;5.902,32
11/1993;5.892,16
12/1993;4.010,32
01/1994;7.065,02
02/1994;13.442,03
03/1994;7.784,35
04/1994;15.710,86
05/1994;8.784,03
06/1994;13.532,65
07/1994;131,03
08/1994;56,46
09/1994;57,06
10/1994;60,30
11/1994;65,36
12/1994;53,25
01/1995;46,25
02/1995;56,54
03/1995;57,98
04/1995;85,47
05/1995;61,05
06/1995;60,84
07/1995;60,53
08/1995;51,11
09/1995;51,00
10/1995;44,11
11/1995;42,93
12/1995;41,22
01/1996;33,83
02/1996;36,11
03/1996;30,16
04/1996;29,42
05/1996;25,64
06/1996;29,65
07/1996;23,28
08/1996;25,01
09/1996;25,40
10/1996;23,48
11/1996;25,27
12/1996;23,94
01/1997;21,73
02/1997;26,14
03/1997;24,11
04/1997;21,84
05/1997;21,91
06/1997;21,08
07/1997;19,04
08/1997;20,78
09/1997;19,81
10/1997;19,93
11/1997;45,90
12/1997;39,87
01/1998;37,19
02/1998;34,32
03/1998;28,32
04/1998;25,16
05/1998;22,60
06/1998;21,02
07/1998;20,33
08/1998;19,23
09/1998;34,29
10/1998;41,60
11/1998;38,73
12/1998;31,24
01/1999;31,19
02/1999;38,97
03/1999;43,25
04/1999;36,12
05/1999;27,11
06/1999;22,01
07/1999;20,74
08/1999;19,51
09/1999;19,38
10/1999;18,91
11/1999;18,95
12/1999;18,99
